hhid,id2,rule_name,detail
04 0531 269 7,1,monetary_outlier_q6_01,"q6_01=280000.0 outside IQR bounds [-40000, 152000]"
04 0542 310 6,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
04 0542 328 6,3,monetary_outlier_q6_01,"q6_01=280000.0 outside IQR bounds [-40000, 152000]"
04 0562 471 5,1,monetary_outlier_q6_01,"q6_01=700000.0 outside IQR bounds [-40000, 152000]"
04 0562 477 0,2,monetary_outlier_q6_01,"q6_01=251000.0 outside IQR bounds [-40000, 152000]"
04 0573 556 9,2,monetary_outlier_q6_01,"q6_01=400000.0 outside IQR bounds [-40000, 152000]"
04 0584 592 3,1,monetary_outlier_q6_01,"q6_01=500000.0 outside IQR bounds [-40000, 152000]"
04 0599 651 8,2,monetary_outlier_q6_01,"q6_01=1650000.0 outside IQR bounds [-40000, 152000]"
04 0599 659 4,2,monetary_outlier_q6_01,"q6_01=280000.0 outside IQR bounds [-40000, 152000]"
04 0632 132 3,2,monetary_outlier_q6_01,"q6_01=250000.0 outside IQR bounds [-40000, 152000]"
04 0632 132 3,3,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
04 0655 029 4,3,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
04 0697 044 5,1,monetary_outlier_q6_01,"q6_01=175000.0 outside IQR bounds [-40000, 152000]"
04 0703 053 4,3,monetary_outlier_q6_01,"q6_01=155000.0 outside IQR bounds [-40000, 152000]"
04 0712 083 0,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
04 0731 006 2,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
04 0731 021 0,1,monetary_outlier_q6_01,"q6_01=240000.0 outside IQR bounds [-40000, 152000]"
04 0740 044 7,1,monetary_outlier_q6_01,"q6_01=270000.0 outside IQR bounds [-40000, 152000]"
04 0740 074 0,3,monetary_outlier_q6_01,"q6_01=280000.0 outside IQR bounds [-40000, 152000]"
04 0740 074 0,5,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
04 0740 079 3,3,monetary_outlier_q6_01,"q6_01=500000.0 outside IQR bounds [-40000, 152000]"
04 0740 083 5,3,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
04 0763 009 9,2,monetary_outlier_q6_01,"q6_01=260000.0 outside IQR bounds [-40000, 152000]"
04 0774 030 9,2,monetary_outlier_q6_01,"q6_01=158000.0 outside IQR bounds [-40000, 152000]"
04 0782 120 7,1,monetary_outlier_q6_01,"q6_01=190000.0 outside IQR bounds [-40000, 152000]"
04 0789 088 9,1,monetary_outlier_q6_01,"q6_01=380000.0 outside IQR bounds [-40000, 152000]"
04 0801 008 0,1,monetary_outlier_q6_01,"q6_01=375000.0 outside IQR bounds [-40000, 152000]"
04 0801 046 9,4,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
04 0829 090 7,3,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
04 0862 032 1,2,monetary_outlier_q6_01,"q6_01=159000.0 outside IQR bounds [-40000, 152000]"
04 0862 036 6,1,monetary_outlier_q6_01,"q6_01=158000.0 outside IQR bounds [-40000, 152000]"
04 0881 040 8,1,monetary_outlier_q6_01,"q6_01=153000.0 outside IQR bounds [-40000, 152000]"
04 0915 024 9,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
04 0915 030 6,2,monetary_outlier_q6_01,"q6_01=250000.0 outside IQR bounds [-40000, 152000]"
04 1037 026 8,1,monetary_outlier_q6_01,"q6_01=165000.0 outside IQR bounds [-40000, 152000]"
04 1105 004 8,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
04 1119 043 3,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
04 1119 079 2,1,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
05 0062 428 4,2,monetary_outlier_q6_01,"q6_01=750000.0 outside IQR bounds [-40000, 152000]"
05 0083 045 7,1,monetary_outlier_q6_01,"q6_01=980000.0 outside IQR bounds [-40000, 152000]"
05 0094 013 5,6,monetary_outlier_q6_01,"q6_01=335610.0 outside IQR bounds [-40000, 152000]"
05 0226 010 6,2,monetary_outlier_q6_01,"q6_01=156000.0 outside IQR bounds [-40000, 152000]"
05 0226 071 6,2,monetary_outlier_q6_01,"q6_01=188000.0 outside IQR bounds [-40000, 152000]"
05 0247 110 5,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
06 0028 130 6,1,monetary_outlier_q6_01,"q6_01=750000.0 outside IQR bounds [-40000, 152000]"
06 0040 021 1,1,monetary_outlier_q6_01,"q6_01=179000.0 outside IQR bounds [-40000, 152000]"
06 0079 081 9,1,monetary_outlier_q6_01,"q6_01=156000.0 outside IQR bounds [-40000, 152000]"
06 0079 122 9,1,monetary_outlier_q6_01,"q6_01=750000.0 outside IQR bounds [-40000, 152000]"
06 0085 012 7,1,monetary_outlier_q6_01,"q6_01=420000.0 outside IQR bounds [-40000, 152000]"
06 0115 071 6,2,monetary_outlier_q6_01,"q6_01=167000.0 outside IQR bounds [-40000, 152000]"
06 0138 095 5,1,monetary_outlier_q6_01,"q6_01=950000.0 outside IQR bounds [-40000, 152000]"
06 0194 033 8,2,monetary_outlier_q6_01,"q6_01=168000.0 outside IQR bounds [-40000, 152000]"
06 0205 010 5,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
06 0229 014 3,4,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
06 0240 020 3,2,monetary_outlier_q6_01,"q6_01=197000.0 outside IQR bounds [-40000, 152000]"
06 0261 127 1,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
06 0329 202 7,1,monetary_outlier_q6_01,"q6_01=900000.0 outside IQR bounds [-40000, 152000]"
06 0353 081 9,1,monetary_outlier_q6_01,"q6_01=183000.0 outside IQR bounds [-40000, 152000]"
06 0422 142 0,2,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
06 0435 051 8,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
06 0452 066 6,1,monetary_outlier_q6_01,"q6_01=155000.0 outside IQR bounds [-40000, 152000]"
06 0452 069 7,1,monetary_outlier_q6_01,"q6_01=156000.0 outside IQR bounds [-40000, 152000]"
06 0457 095 6,1,monetary_outlier_q6_01,"q6_01=220000.0 outside IQR bounds [-40000, 152000]"
06 0463 201 9,2,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
06 0485 189 2,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
09 0061 068 9,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
10 0011 083 1,1,monetary_outlier_q6_01,"q6_01=250000.0 outside IQR bounds [-40000, 152000]"
10 0013 089 7,1,monetary_outlier_q6_01,"q6_01=173000.0 outside IQR bounds [-40000, 152000]"
10 0015 118 7,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
10 0015 202 4,1,monetary_outlier_q6_01,"q6_01=230000.0 outside IQR bounds [-40000, 152000]"
10 0024 367 5,1,monetary_outlier_q6_01,"q6_01=600000.0 outside IQR bounds [-40000, 152000]"
10 0024 385 8,3,monetary_outlier_q6_01,"q6_01=750000.0 outside IQR bounds [-40000, 152000]"
10 0033 592 4,2,monetary_outlier_q6_01,"q6_01=250000.0 outside IQR bounds [-40000, 152000]"
10 0039 649 4,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
10 0051 271 4,1,monetary_outlier_q6_01,"q6_01=190000.0 outside IQR bounds [-40000, 152000]"
10 0058 015 9,1,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
10 0058 049 3,2,monetary_outlier_q6_01,"q6_01=275000.0 outside IQR bounds [-40000, 152000]"
10 0058 058 9,2,monetary_outlier_q6_01,"q6_01=240000.0 outside IQR bounds [-40000, 152000]"
10 0084 809 7,6,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
10 0107 109 1,1,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
10 0107 116 4,1,monetary_outlier_q6_01,"q6_01=740000.0 outside IQR bounds [-40000, 152000]"
