hhid,emig,weight,stratum,psu,block,domain,quarter,week,region,area,zone,psu_centroid_lat,psu_centroid_long,q7_04,q7_05,q7_06,q7_07,q7_08,q7_09,q7_10,q7_11,q7_12,q7_13,q7_14,q7_15,q7_16,q7_17
10 0079 758 0,1,31.76527905151797,10 1,10 0079,3,Coast/Urban,174,3,10,Coast,Urban,6.0023832,-58.315002,Other relative,Male,58,University / Certificate /Diploma,MACHANICAL ENGINEERING,1987,,Family Reunification,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",MEVHANICAL ENGINEERING,Working,
10 0084 848 1,1,28.4591191776717,10 1,10 0084,4,Coast/Urban,174,4,10,Coast,Urban,5.9971676,-58.313049,Son/daughter,Female,47,Secondary,,2001,,Family Reunification,Canada,No,,,Working,
10 0084 871 7,1,28.4591191776717,10 1,10 0084,6,Coast/Urban,174,4,10,Coast,Urban,5.9975438,-58.314892,Son/daughter,Male,43,Technical/Vocational Certificate or Diploma,MECHANIC,-1,2000 - 2009,Work,Caribbean country,Yes,"Employee (for another person, for a company or for the government)",MECHANIC,Working,
10 0084 871 7,2,28.4591191776717,10 1,10 0084,6,Coast/Urban,174,4,10,Coast,Urban,5.9975438,-58.314892,Son/daughter,Female,44,Post graduate Certificate or Diploma,NURSING,2002,,Work,Great Britain,Yes,"Employee (for another person, for a company or for the government)",NURSE,Working,
10 0084 871 7,3,28.4591191776717,10 1,10 0084,6,Coast/Urban,174,4,10,Coast,Urban,5.9975438,-58.314892,Son/daughter,Male,36,Secondary,,-1,2000 - 2009,Study,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",TEACHER,Working,
10 0092 002 0,1,41.7000988371779,10 1,10 0092,3,Coast/Urban,174,3,10,Coast,Urban,6.001636,-58.328602,Son/daughter,Female,0,Secondary,,-1,1990 - 1999,Marriage,Other European country,,,,,
10 0092 002 0,2,41.7000988371779,10 1,10 0092,3,Coast/Urban,174,3,10,Coast,Urban,6.001636,-58.328602,Son/daughter,Female,0,Technical/Vocational Certificate or Diploma,EDUCATION,-1,2000 - 2009,Work,U.S.A.,,,,,
10 0092 002 0,3,41.7000988371779,10 1,10 0092,3,Coast/Urban,174,3,10,Coast,Urban,6.001636,-58.328602,Son/daughter,Female,0,Primary,,-1,1990 - 1999,Family Reunification,Other European country,,,,,
10 0092 021 7,1,41.7000988371779,10 1,10 0092,6,Coast/Urban,174,3,10,Coast,Urban,6.0013638,-58.330242,Other relative,Female,43,Secondary,,2012,,Marriage,U.S.A.,No,,,Don't know,Don't know
10 0092 054 8,1,41.7000988371779,10 1,10 0092,5,Coast/Urban,174,3,10,Coast,Urban,6.0031457,-58.332939,Other relative,Female,40,Primary,,1991,,Family Reunification,U.S.A.,No,,,Working,
10 0092 054 8,2,41.7000988371779,10 1,10 0092,5,Coast/Urban,174,3,10,Coast,Urban,6.0031457,-58.332939,Other relative,Female,36,Primary,,1991,,Family Reunification,U.S.A.,No,,,Working,
10 0092 054 8,3,41.7000988371779,10 1,10 0092,5,Coast/Urban,174,3,10,Coast,Urban,6.0031457,-58.332939,Other relative,Male,29,Primary,,1991,,Family Reunification,U.S.A.,No,,,Working,
10 0095 038 0,1,27.68812637632313,10 1,10 0095,4,Coast/Urban,174,7,10,Coast,Urban,5.9956808,-58.342655,Son/daughter,Female,39,Bachelor's degree,TECHNOLOGY,2009,,Marriage,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",CUSTOMER SERVICE REP,Don't know,Don't know
10 0095 038 0,2,27.68812637632313,10 1,10 0095,4,Coast/Urban,174,7,10,Coast,Urban,5.9956808,-58.342655,Son/daughter-in-law,Male,20,Secondary,,2017,,Family Reunification,U.S.A.,No,,,Studying,No
10 0095 038 0,3,27.68812637632313,10 1,10 0095,4,Coast/Urban,174,7,10,Coast,Urban,5.9956808,-58.342655,Son/daughter,Male,33,Secondary,,2016,,Work,Caribbean country,No,,,Don't know,Don't know
10 0095 061 5,1,27.68812637632313,10 1,10 0095,5,Coast/Urban,174,7,10,Coast,Urban,5.9965758,-58.340942,Son/daughter,Female,50,Secondary,,2012,,Marriage,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",NURSE,Working,
10 0095 061 5,2,27.68812637632313,10 1,10 0095,5,Coast/Urban,174,7,10,Coast,Urban,5.9965758,-58.340942,Son/daughter,Male,48,Secondary,,-1,2000 - 2009,Don't know,Other,No,,,Don't know,Don't know
10 0095 061 5,3,27.68812637632313,10 1,10 0095,5,Coast/Urban,174,7,10,Coast,Urban,5.9965758,-58.340942,Son/daughter,Female,40,Technical/Vocational Certificate or Diploma,EDUCATION,-1,2000 - 2009,Marriage,Caribbean country,Yes,"Employee (for another person, for a company or for the government)",SECONDARY TEACHER,Working,
10 0095 061 5,4,27.68812637632313,10 1,10 0095,5,Coast/Urban,174,7,10,Coast,Urban,5.9965758,-58.340942,Son/daughter,Male,38,Secondary,,-1,2000 - 2009,Work,Caribbean country,No,,,Working,
10 0095 071 2,1,27.68812637632313,10 1,10 0095,5,Coast/Urban,174,7,10,Coast,Urban,5.9979486,-58.339878,Spouse/ partner,Female,61,Secondary,,2010,,Family Reunification,U.S.A.,No,,,Other,No
10 0095 071 2,2,27.68812637632313,10 1,10 0095,5,Coast/Urban,174,7,10,Coast,Urban,5.9979486,-58.339878,Step/ adopted child,Female,42,Secondary,,2007,,Work,Caribbean country,Yes,Self-employed (without paid help),SELF EMPLOYED,Working,
10 0107 107 0,1,16.64739885933663,10 0,10 0107,4,Interior,174,2,10,Interior,Rural,5.940793,-58.3125,Other relative,Female,61,Secondary,,2011,,Family Reunification,U.S.A.,No,,,Don't know,Don't know
10 0107 107 0,2,16.64739885933663,10 0,10 0107,4,Interior,174,2,10,Interior,Rural,5.940793,-58.3125,Other relative,Male,56,Secondary,,2000,,Don't know,Other European country,Yes,"Employee (for another person, for a company or for the government)",STORE CLERK,Don't know,Don't know
10 0126 138 5,1,18.7250279852722,10 0,10 0126,6,Interior,174,6,10,Interior,Rural,5.5345459,-58.256187,Son/daughter,Male,30,Technical/Vocational Certificate or Diploma,MACHINE AND FITTINGS,2014,,Marriage,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",OPERATOR,Working,
10 0126 157 8,1,18.7250279852722,10 0,10 0126,3,Interior,174,6,10,Interior,Rural,5.5339599,-58.257641,Son/daughter,Male,36,Secondary,,2010,,Marriage,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",LOGGER,Working,
10 0137 191 6,1,31.74852246881726,10 0,10 0137,3,Interior,174,10,10,Interior,Rural,5.2952375,-58.695507,Non relative,Male,39,Secondary,,2014,,Family Reunification,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",OFFICE WORKER,Working,
10 0174 145 5,1,37.67854499665078,10 0,10 0174,4,Interior,174,12,10,Interior,Rural,5.7806244,-57.744694,Son/daughter,Male,27,Technical/Vocational Certificate or Diploma,AGRICULTURE,2013,,Study,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",MANAGER,Working,
10 0174 145 5,2,37.67854499665078,10 0,10 0174,4,Interior,174,12,10,Interior,Rural,5.7806244,-57.744694,Son/daughter,Female,26,Technical/Vocational Certificate or Diploma,COMPUTER SCIENCE,2012,,Marriage,U.S.A.,Yes,"Employee (for another person, for a company or for the government)",VOLUNTEER,Don't know,Don't know
10 0225 111 8,1,22.96957880167706,10 0,10 0225,3,Interior,174,9,10,Interior,Rural,5.2648277,-58.069897,Son/daughter,Male,39,Secondary,,2013,,Work,Other,Yes,"Employee (for another person, for a company or for the government)",LOGGING,Working,
10 0225 163 6,1,22.96957880167706,10 0,10 0225,6,Interior,174,9,10,Interior,Rural,5.262609,-58.063568,Parent/parent-in-law,Female,58,Secondary,,2013,,Other,U.S.A.,Yes,Self-employed (without paid help),CLOTHING,Keeping the house,No
10 0225 173 1,1,22.96957880167706,10 0,10 0225,4,Interior,174,9,10,Interior,Rural,5.2647805,-58.063515,Other relative,Female,25,Secondary,,2007,,Family Reunification,U.S.A.,No,,,Working,
10 0225 194 5,1,22.96957880167706,10 0,10 0225,3,Interior,174,9,10,Interior,Rural,5.2632642,-58.065533,Son/daughter,Female,58,Secondary,,1976,,Family Reunification,Canada,Yes,"Employee (for another person, for a company or for the government)",TEACHER,Working,
10 0225 194 5,2,22.96957880167706,10 0,10 0225,3,Interior,174,9,10,Interior,Rural,5.2632642,-58.065533,Son/daughter,Female,45,Secondary,,2012,,Family Reunification,U.S.A.,No,,,Working,
10 0225 194 5,3,22.96957880167706,10 0,10 0225,3,Interior,174,9,10,Interior,Rural,5.2632642,-58.065533,Son/daughter,Male,47,Secondary,,2011,,Family Reunification,Other,Yes,"Employee (for another person, for a company or for the government)",PLUMBER,Working,
10 0225 195 0,1,22.96957880167706,10 0,10 0225,3,Interior,174,9,10,Interior,Rural,5.2628536,-58.065422,Non relative,Male,65,Primary,,2005,,Work,Caribbean country,Yes,"Employee (for another person, for a company or for the government)",MECHANIC,Retired,No
10 0225 195 0,2,22.96957880167706,10 0,10 0225,3,Interior,174,9,10,Interior,Rural,5.2628536,-58.065422,Other relative,Female,62,Primary,,2000,,Family Reunification,Other,No,,,Other,No
